Gestioni collegate complete;Att. IVA;Regime IVA;Sez.;Protocollo;Data registrazione;Numero;Data doc.;Data ricezione;Fornitore;Tipo doc.;Totale documento;Netto a pagare;Ritenuta;Valuta;Causale;Allegati
Si;1;Normale;1;194;07-04-2026;12;07-04-2026;07-04-2026;BORZI' VALERIA GIULIA;Fattura;102,00;102,00;0,00;EUR;252;No
No;1;Normale;1;193;07-04-2026;11;07-04-2026;07-04-2026;FRIGNATI LUCA MARIA VITTORIO;Fattura;1.350,00;1.080,00;270,00;EUR;1;No
Si;1;Normale;1;192;07-04-2026;2026/00/0018314;31-03-2026;07-04-2026;J DENTAL CARE SRL;Fattura differita art.21, c.4 lett. a);231,12;231,12;0,00;EUR;202;No
Si;1;Normale;1;191;07-04-2026;2026/00/0018312;31-03-2026;07-04-2026;J DENTAL CARE SRL;Fattura differita art.21, c.4 lett. a);3.073,71;3.073,71;0,00;EUR;202;No
Si;1;Normale;1;190;06-04-2026;4Mi2026;06-04-2026;06-04-2026;ELSHERIF MOHAMED FATHY ISMAIL;Fattura;716,71;716,71;0,00;EUR;252;No
Si;1;Normale;1;189;04-04-2026;17;04-04-2026;04-04-2026;VILLA FEDERICO;Fattura;373,78;373,78;0,00;EUR;252;No
No;1;Normale;1;188;03-04-2026;19/E;02-04-2026;03-04-2026;MARCI' RACHELE;Parcella;500,00;400,00;100,00;EUR;1;No
Si;1;Normale;1;187;03-04-2026;VED/1219;31-03-2026;03-04-2026;WISIL LAB MILANO SRL;Fattura differita art.21, c.4 lett. a);198,00;198,00;0,00;EUR;202;No
Si;1;Normale;1;186;02-04-2026;6;02-04-2026;02-04-2026;ANDOLINA ALESSIA;Fattura;2.580,22;0,00;0,00;EUR;252;No
Si;1;Normale;1;185;02-04-2026;103;01-04-2026;02-04-2026;MARANAN ATHENA MAE;Fattura;1.260,00;0,00;0,00;EUR;252;No
Si;1;Normale;1;184;02-04-2026;4109655934;01-04-2026;02-04-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;1.128,31;1.128,31;0,00;EUR;1;No
Si;1;Normale;1;183;02-04-2026;132/2026;01-04-2026;02-04-2026;CONFIDENT COMMERCIALE HOLDING S.P.A. SOCIETA' BENEFIT;Fattura;6.729,12;6.729,12;0,00;EUR;1;Si
Si;1;Normale;1;182;02-04-2026;9590742903;31-03-2026;02-04-2026;INVISALIGN S.R.L.;Fattura differita art.21, c.4 lett. a);1,04;1,04;0,00;EUR;202;No
Si;1;Normale;1;181;02-04-2026;26500000317;31-03-2026;02-04-2026;AZIENDA FARMACIE MILANESI SPA;Fattura differita art.21, c.4 lett. a);34,99;34,99;0,00;EUR;202;Si
Si;1;Normale;1;180;02-04-2026;26500000316;31-03-2026;02-04-2026;AZIENDA FARMACIE MILANESI SPA;Fattura differita art.21, c.4 lett. a);44,90;44,90;0,00;EUR;202;Si
Si;1;Normale;1;179;02-04-2026;676;25-03-2026;02-04-2026;CVZ ANTINCENDI SRL;Fattura differita art.21, c.4 lett. a);48,80;48,80;0,00;EUR;202;Si
No;1;Normale;1;178;01-04-2026;21/001;01-04-2026;01-04-2026;LAZZARI GIUSEPPE;Fattura;1.220,00;1.020,00;200,00;EUR;1;No
No;1;Normale;1;177;01-04-2026;20/001;01-04-2026;01-04-2026;LAZZARI GIUSEPPE;Fattura;9.018,69;7.214,95;1.803,74;EUR;1;No
No;1;Normale;1;176;01-04-2026;16;01-04-2026;01-04-2026;PROVENZANO PASQUALE;Fattura;4.461,12;3.568,90;892,22;EUR;1;No
Si;1;Normale;1;175;01-04-2026;C1AV20026982;31-03-2026;01-04-2026;COMPASS BANCA SPA;Fattura differita art.21, c.4 lett. a);830,75;0,00;0,00;EUR;1;Si
Si;1;Normale;1;174;01-04-2026;C1AV20024182;31-03-2026;01-04-2026;COMPASS BANCA SPA;Fattura differita art.21, c.4 lett. a);2.366,40;2.366,40;0,00;EUR;1;Si
Si;1;Normale;1;173;31-03-2026;107;31-03-2026;31-03-2026;LEZZI DANIELE DIELLE;Fattura differita art.21, c.4 lett. a);239,73;239,73;0,00;EUR;202;Si
Si;1;Normale;1;172;31-03-2026;75;31-03-2026;31-03-2026;INFINITY SRL;Fattura;244,00;244,00;0,00;EUR;1;No
Si;1;Normale;1;171;31-03-2026;15/001;30-03-2026;31-03-2026;TIBICHI EDWIN FLAVIUS;Fattura;3.129,66;3.129,66;0,00;EUR;252;No
Si;1;Normale;1;170;31-03-2026;9/A;27-03-2026;31-03-2026;GIGANTI ALESSANDRA;Fattura;1.038,85;1.038,85;0,00;EUR;252;No
Si;1;Normale;1;169;31-03-2026;67/S01;23-03-2026;31-03-2026;FBM HEALTHCARE SRL UNIPERSONALE;Fattura;90,57;90,57;0,00;EUR;1;Si
Si;1;Normale;1;168;31-03-2026;66/S01;23-03-2026;31-03-2026;FBM HEALTHCARE SRL UNIPERSONALE;Fattura;20,58;20,58;0,00;EUR;1;Si
Si;1;Normale;1;167;31-03-2026;58/S01;23-03-2026;31-03-2026;FBM HEALTHCARE SRL UNIPERSONALE;Nota di credito;90,57;90,57;0,00;EUR;3;Si
Si;1;Normale;1;166;31-03-2026;57/S01;23-03-2026;31-03-2026;FBM HEALTHCARE SRL UNIPERSONALE;Nota di credito;20,58;20,58;0,00;EUR;3;Si
Si;1;Normale;1;165;30-03-2026;18;30-03-2026;30-03-2026;D'ANNA FRANCESCO;Fattura;5.209,44;5.209,44;0,00;EUR;252;No
Si;1;Normale;1;164;30-03-2026;4/2026-2026;30-03-2026;30-03-2026;EDOARDO PAGLIOLI;Fattura;4.278,63;0,00;0,00;EUR;252;No
Si;1;Normale;1;163;28-03-2026;4109652183;27-03-2026;28-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;221,88;221,88;0,00;EUR;202;No
Si;1;Normale;1;162;26-03-2026;FAD-2026-831;23-03-2026;26-03-2026;ITES COM S.R.L.;Fattura differita art.21, c.4 lett. a);602,20;602,20;0,00;EUR;1;No
No;1;Normale;1;161;24-03-2026;29;24-03-2026;24-03-2026;FARANDA ROSARIO;Fattura;222,01;178,01;44,00;EUR;1;No
